iter	Passed	Remaining
0	0	50
1	0	41
2	1	37
3	1	35
4	1	34
5	2	34
6	2	34
7	2	33
8	3	32
9	3	31
10	4	33
11	4	32
12	4	32
13	5	32
14	5	31
15	5	30
16	6	30
17	6	29
18	6	29
19	7	28
20	7	28
21	7	27
22	8	26
23	8	26
24	8	26
25	8	25
26	9	25
27	9	24
28	9	24
29	10	23
30	10	23
31	10	22
32	11	22
33	11	22
34	11	21
35	11	21
36	12	20
37	12	20
38	12	19
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	17	15
53	17	14
54	17	14
55	17	14
56	18	13
57	18	13
58	19	13
59	19	12
60	19	12
61	20	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	22	9
69	22	9
70	22	9
71	23	8
72	23	8
73	23	8
74	23	7
75	24	7
76	24	7
77	24	7
78	25	6
79	25	6
80	25	6
81	26	5
82	26	5
83	26	5
84	26	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	29	2
92	29	2
93	29	1
94	30	1
95	30	1
96	30	0
97	31	0
98	31	0
99	31	0
